"SINHGAD ROAD","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"30C","19-20","13","Furniture works, curtains etc.","197780.75","Furniture","","",""
"30C","19-20","14","Furniture works, curtains etc.","200000","Furniture","","",""
"","","","","","","","",""
"30D","19-20","1","Drainage ","198610.65","Drainage","","",""
"30D","19-20","2","Buliding","197638.31","Buildings","","",""
"30D","19-20","3","Gym","200000","Gym","","",""
"30D","19-20","4","Waste disposal","200000","Waste disposal","","",""
"30D","19-20","5","Buliding","196925.06","Buildings","","",""
"30D","19-20","6","Gym","200000","Gym","","",""
"30D","19-20","7","Toilet","199135.16","Toilet","","",""
"30D","19-20","8","Drainage ","198816.91","Drainage","","",""
"30D","19-20","9","Buckets","200000","Dustbin/Buckets","","",""
"30D","19-20","10","Fencing","195054.1","Fencing","","",""
"","","","","","","","",""
"33A","19-20","1","Bench","200000","Benches","","",""
"33A","19-20","2","Fencing","200000","Fencing","","",""
"33A","19-20","3","Development work ","198007.33","Development work","","",""
"33A","19-20","4","Development work ","197369.21","Development work","","",""
"33A","19-20","5","Bags","200000","Bags","","",""
"33A","19-20","6","Garden","138410.2","Garden","","",""
"33A","19-20","7","Water supply","117060.51","Water supply","","",""
"33A","19-20","8","Cleaning","150000","Cleaning","","",""
"33A","19-20","9","Market","150000","Markets /Mandi","","",""
"33A","19-20","10","Bus stop","200000","BusStop","","",""
"33A","19-20","11","Decoration","200000","Decoration","","",""
"33A","19-20","12","Bags","200000","Bags","","",""
"33A","19-20","13","Gym","200000","Gym","","",""
"33A","19-20","14","Electrification ","93418.28","Electrification","","",""
"33A","19-20","15","Electrification ","93399.88","Electrification","","",""
"","","","","","","","",""
"33B","19-20","1","Concretization","157889.07","Concretization","","",""
"33B","19-20","2","Nameplates","175823.01","Nameplates","","",""
"33B","19-20","3","Gym","200000","Gym","","",""
"33B","19-20","4","Gym","200000","Gym","","",""
"33B","19-20","5","Fencing","78453.8","Fencing","","",""
"33B","19-20","6","Pavement blocks","199570.24","Pavement blocks","","",""
"33B","19-20","7","Pavement blocks","199559.32","Pavement blocks","","",""
"33B","19-20","8","Colouring","199830.4","Colouring","","",""
"33B","19-20","9","Bench","200000","Benches","","",""
"33B","19-20","10","Concretization","198692.35","Concretization","","",""
"33B","19-20","11","Electrification ","99986.84","Electrification","","",""
"","","","","","","","",""
"33C","19-20","1","Drainage ","171693.31","Drainage","","",""
"33C","19-20","2","Decoration","139708.8","Decoration","","",""
"33C","19-20","3","Drainage ","179364.48","Drainage","","",""
"33C","19-20","4","Bags","200000","Bags","","",""
"33C","19-20","5","Bags","200000","Bags","","",""
"33C","19-20","6","Bags","200000","Bags","","",""
"33C","19-20","7","Bags","200000","Bags","","",""
"33C","19-20","8","Bags","200000","Bags","","",""
"33C","19-20","9","Buckets","200000","Dustbin/Buckets","","",""
"33C","19-20","10","Toilet","199891.16","Toilet","","",""
"33C","19-20","11","Buckets","200000","Dustbin/Buckets","","",""
"","","","","","","","",""
"33D","19-20","1","Bags","200000","Bags","","",""
"33D","19-20","2","Drainage","193250.25","Drainage","","",""
"33D","19-20","3","Fencing","196606.2","Fencing","","",""
"33D","19-20","4","Miscelleneous Development work","196181.89","Development work","","",""
"33D","19-20","5","Fencing","196050.68","Fencing","","",""
"33D","19-20","6","Miscelleneous Development work","195267.4","Development work","","",""
"33D","19-20","7","Any work related to cemetory or crematorium","197799.09","Cemetory / Crematorium","","",""
"33D","19-20","8","Concretization","179629.02","Concretization","","",""
"33D","19-20","9","Concretization","179508.15","Concretization","","",""
"33D","19-20","10","Fencing","196473.77","Fencing","","",""
"33D","19-20","11","Drainage","99862.75","Drainage","","",""
"","","","","","","","",""
"34A","19-20","1","Bags","200000","Bags","","",""
"34A","19-20","2","Bags","200000","Bags","","",""
"34A","19-20","3","Nameplates","196673.26","Nameplates","","",""
"34A","19-20","4","Nameplates","174664.09","Nameplates","","",""
"34A","19-20","5","Fire brigade related works","199942.15","Fire Brigade","","",""
"34A","19-20","6","Fencing","194469.34","Fencing","","",""
"34A","19-20","7","Fencing","193803.89","Fencing","","",""
"34A","19-20","8","Bags","200000","Bags","","",""
"34A","19-20","9","Bags","100000","Bags","","",""
"34A","19-20","10","Electrification/new street lights","124419.46","Electrification","","",""
"34A","19-20","11","CCTV","194024.72","CCTV","","",""
"","","","","","","","",""
"34B","19-20","1","Cleaning","198016.06","Cleaning","","",""
"34B","19-20","2","Any work related to cemetory or crematorium","200000","Cemetory / Crematorium","","",""
"34B","19-20","3","Toilet","194757.55","Toilet","","",""
