"NAGAR ROAD- VADGAON SHERI","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","0","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","",""
"4D","18-19","6","Cleaning material purchase etc","175417.09","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"4D","18-19","7","Road Construction / Colouring Roads / Railing Work / Speed Breaker","177141.86","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5A","18-19","1","Road Construction / Colouring Roads / Railing Work / Speed Breaker","169154.25","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5A","18-19","2","Road Construction / Colouring Roads / Railing Work / Speed Breaker","200000","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5A","18-19","3","Benches","199646.05","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5A","18-19","4","Drainage works","173813.52","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5A","18-19","5","Picking of radar waste","189174.72","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5A","18-19","6","Benches","190390.23","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5A","18-19","7","Wall painting and decoration","179979.2","Decoration","No Issue","","","","","","","","","","","","","","","","","",""
"5A","18-19","8","Distributing Dustbins/buckets","200000","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"5A","18-19","9","Naala cleaning","142812","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5A","18-19","10","Thermoplastic stips painting","168517.69","Traffic","No Issue","","","","","","","","","","","","","","","","","",""
"5B","18-19","1","Furniture related work","178535","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"5B","18-19","2","Picking of radar waste","178290","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5B","18-19","3","Benches","176744.3","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5B","18-19","4","Benches","197897.14","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5B","18-19","5","Benches","197288.94","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5B","18-19","6","Drainage works","176765.52","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5B","18-19","7","Drainage works","199000","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5B","18-19","8","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199000","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5B","18-19","9","Road Construction / Colouring Roads / Railing Work / Speed Breaker","168588.53","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5B","18-19","10","Bags","178550","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"5C","18-19","1","Drainage works","197332.88","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5C","18-19","2","Building toilets / maintenance etc.","197598.34","Toilet","No Issue","","","","","","","","","","","","","","","","","",""
"5C","18-19","3","Ghanta-gadi purchase","200000","Waste disposal","No Issue","","","","","","","","","","","","","","","","","",""
"5C","18-19","4","Road Construction / Colouring Roads / Railing Work / Speed Breaker","189932.27","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5C","18-19","5","Distributing Dustbins/buckets","200000","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"5C","18-19","6","Concretization","188481.42","Concretization","No Issue","","","","","","","","","","","","","","","","","",""
"5C","18-19","7","Bags","100000","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"5C","18-19","8","Road Construction / Colouring Roads / Railing Work / Speed Breaker","185997.01","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5C","18-19","9","Benches","189581.6","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5C","18-19","10","Drainage works","197925.32","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5D","18-19","1","Benches","169603.1","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5D","18-19","2","Benches","169603.1","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5D","18-19","3","Drainage works","160679.7","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5D","18-19","4","Road Construction / Colouring Roads / Railing Work / Speed Breaker","178495","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5D","18-19","5","Picking of radar waste","160906.72","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5D","18-19","6","Road Construction / Colouring Roads / Railing Work / Speed Breaker","160466.4","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5D","18-19","7","Drainage works","199000","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5D","18-19","8","Miscelleneous Development work","178548","Development work","No Issue","","","","","","","","","","","","","","","","","",""
"3A","19-20","1","Drainage works","199702.72","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3A","19-20","2","Drainage works","199820.32","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3A","19-20","3","Footpaths / pedestrian crossings","199893.79","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"3A","19-20","4","Footpaths / pedestrian crossings","192231","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"3A","19-20","5","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","199987.2","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"3A","19-20","6","Jute bags/ cloth/ canvas bags etc.","200000","Bags","Resolved","No amount is mentioned in the sheet!!!","2 lakhs added based on other entries: Tanmay","","","","","","","","","","","","","","","",""
"3A","19-20","7","Jute bags/ cloth/ canvas bags etc.","200000","Bags","Resolved","No amount is mentioned in the sheet!!!","2 lakhs added based on other entries: Tanmay","","","","","","","","","","","","","","","",""
"3B","19-20","1","Distributing Computers","200000","Computers","No Issue","","","","","","","","","","","","","","","","","",""
"3B","19-20","2","Drainage works","197652","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3B","19-20","3","Pavement Blocks / Grouting / Laying tiles","199697.12","Pavement blocks","No Issue","","","","","","","","","","","","","","","","","",""
"3B","19-20","4","Library sheds/ library maintenance","189420","Library","No Issue","","","","","","","","","","","","","","","","","",""
"3B","19-20","5","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199893.79","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3B","19-20","6","Drainage works","197696","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3B","19-20","7","Library sheds/ library maintenance","197350","Library","No Issue","","","","","","","","","","","","","","","","","",""
"3B","19-20","8","Benches","100000","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"3B","19-20","9","Benches","200000","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"3B","19-20","10","Mainetnance and cleaning works","164287","Maintenance","No Issue","","","","","","","","","","","","","","","","","",""
"3B","19-20","11","Disaster Relief Work / Contribution to PM Cares etc","100000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"3C","19-20","1","Decoration (सुशोभीकरण in marathi)","122975","Decoration","No Issue","","","","","","","","","","","","","","","","","",""
"3C","19-20","2","Road Construction / Colouring Roads / Railing Work / Speed Breaker","147108","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3C","19-20","3","Colouring works","122990","Colouring","No Issue","","","","","","","","","","","","","","","","","",""
"3C","19-20","4","Push vehicles supply","200000","Waste disposal","No Issue","","","","","","","","","","","","","","","","","",""
"3C","19-20","5","Push vehicles supply","200000","Waste disposal","No Issue","","","","","","","","","","","","","","","","","",""
"3C","19-20","6","Distributing Dustbins/buckets","200000","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"3C","19-20","7","Distributing Dustbins/buckets","200000","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"3C","19-20","8","Disaster Relief Work / Contribution to PM Cares etc","100000","Help / Fund / Relief Work","No Issue","","","","","","","","","","","","","","","","","",""
"3C","19-20","9","Bags","200000","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"3C","19-20","10","Push vehicles supply","100000","Waste disposal","No Issue","","","","","","","","","","","","","","","","","",""
"3C","19-20","11","Jute bags/ cloth/ canvas bags etc.","200000","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"3D","19-20","1","Footpaths / pedestrian crossings","200000","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"3D","19-20","2","Cleaning material purchase etc","199995.04","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"3D","19-20","3","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","200000","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"3D","19-20","4","Road Construction / Colouring Roads / Railing Work / Speed Breaker","99993.6","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3D","19-20","5","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","199903.76","Buildings","No Issue","","","","","","","","","","","","","","","","","",""
"3D","19-20","6","Repair work of security wall compound","199979.36","Maintenance","No Issue","","","","","","","","","","","","","","","","","",""
"3D","19-20","7","Drainage works","199914.4","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
