"GHOLE ROAD - SHIVAJI NAGAR","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","273","","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","18-19","33","drainage line","974000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","34","drainage line","836000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","35","drainage line","828000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","36","drainage line","799000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","37","drainage line","802000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","38","drainage line","872000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","39","drainage line","761000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","40","drainage line","764000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","41","drainage line","787000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","42","repair the chamber","763000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","43","drainage line","785000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","44","drainage line","901000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","45","drainage line","797000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","46","drainage line","802000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","47","drainage line","819000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","48","drainage line","901000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","49","drainage line","776000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","50","drainage line","787000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","51","drainage line","875000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","52","drainage line","837000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","53","nale work","600000","Cleaning","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","54","school work","816000","Education","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","55","development work","751000","Development work","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","56","make the road","875000","Road","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","57","road","300000","Road","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","58","reapir the road","869000","Road","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","59","repair foothpath","696000","Footpath","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","60","repair foothpath","641000","Footpath","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","61","foothpath","700000","Footpath","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","62","pavement block","700000","Pavement blocks","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","63","pavement block","877000","Pavement blocks","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","64","pavement block","787000","Pavement blocks","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","65","concretization","766000","Concretization","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","66","development work","774000","Development work","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","67","development work","789000","Development work","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","68","development work","826000","Development work","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","69","decoration ","838000","Decoration","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","70","direction nameplate","976000","Nameplates","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","71","direction nameplate","392000","Nameplates","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","72","colouring","385000","Colouring","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","73","nameplate","778000","Nameplates","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","74","cleaning","594000","Cleaning","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","75","cleaning","388000","Cleaning","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","76","repair the social temple","736000","Buildings","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","77","development work","642000","Development work","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","78","development work","642000","Development work","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","79","development work","811000","Development work","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","80","toilet","779000","Toilet","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","81","toilet","791000","Toilet","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","82","toilet","757000","Toilet","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","83","toilet","566000","Toilet","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","84","toilet","1000000","Toilet","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","85","cleaning","549000","Cleaning","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","86","drainage line","780000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","87","chamber repair","798000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","88","drainage line","898000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","89","drainage line","667000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","90","drainage line","844000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","91","cleaning","356000","Cleaning","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","92","drainage line","797000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","93","chamber repair","147000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"14","18-19","94","drainage line","434000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
