"AUNDH - BANER","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5","","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","","",""
"8A","19-20","39","Electrification ","656880.81","Electrification","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","40","Decoration of electric poles ","668667.17","Decoration","","","","","","","","","","","","","","","","","","","",""
"8A","19-20","41","Electrification work at Ambedkar Hockey Stadium","667972.31","Electrification","","","","","","","","","","","","","","","","","","","",""
"8C","19-20","42","Making coal tar roads ","849032.12","Road","","","","","","","","","","","","","","","","","","","",""
"8C","19-20","43","Making coal tar roads ","848716.85","Road","","","","","","","","","","","","","","","","","","","",""
"8C","19-20","44","Making coal tar roads ","855427.77","Road","","","","","","","","","","","","","","","","","","","",""
"8C","19-20","45","Trimix concretization of roads ","748390.54","Concretization","","","","","","","","","","","","","","","","","","","",""
"8C","19-20","46","Trimix concretization of roads ","748658.6","Concretization","","","","","","","","","","","","","","","","","","","",""
"8C","19-20","47","Work related to school","761956.95","Buildings","","","","","","","","","","","","","","","","","","","",""
"8C","19-20","48","Repair work in school","369944.42","Buildings","","","","","","","","","","","","","","","","","","","",""
"8C","19-20","49","Beautification of walls ","661340.62","Decoration","","","","","","","","","","","","","","","","","","","",""
"8C","19-20","50","Putting drainage line","981617.55","Drainage","","","","","","","","","","","","","","","","","","","",""
"8C","19-20","51","Putting drainage line","600012.18","Drainage","","","","","","","","","","","","","","","","","","","",""
"8C","19-20","52","Cleaning and repairing drainage line","799176.83","Drainage","","","","","","","","","","","","","","","","","","","",""
"8C","19-20","53","Work related to electrification ","615371.04","Electrification","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","54","Making coal tar roads ","441577.54","Road","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","55","Trimix concretization of roads ","423814.87","Concretization","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","56","Trimix concretization of roads ","326496.8","Concretization","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","57","Trimix concretization of roads ","891422.27","Concretization","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","58","Trimix concretization of roads ","730609.37","Concretization","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","59","Work related to school","855782.03","Buildings","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","60","Work related to school","505685.71","Buildings","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","61","Work related to Muslim cemetery ","285255.96","Cemetory / Crematorium","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","62","Development of public areas","798358.53","Development work","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","63","Completing work related to vihar","231727.98","Buildings","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","64","Work related to Buddh Vihar ","843902.87","Buildings","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","65","Putting drainage line","966372.13","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","66","Putting drainage line","257470.77","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","67","Putting drainage line","978147.17","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","68","Putting drainage line","286603.76","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","69","Putting drainage line","588278","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","70","Putting drainage line","809772.89","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","71","Putting drainage line","779075.14","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","72","Putting drainage line","678590.51","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","73","Putting drainage line","291030.45","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","74","Putting drainage line","303061.97","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","75","Putting drainage line","981043.9","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","76","Cleaning drainage line","525038.06","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","77","Cleaning drainage line","974466.07","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","78","Cleaning drainage line","983776.56","Drainage","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","79","Improving electrification","678789.71","Electrification","","","","","","","","","","","","","","","","","","","",""
"8D","19-20","80","Electrification work ","333080.05","Electrification","","","","","","","","","","","","","","","","","","","",""
"9A","19-20","81","Making footpaths","876660.77","Footpath","","","","","","","","","","","","","","","","","","","",""
"9A","19-20","82","Putting pavement blocks ","782188.43","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"9A","19-20","83","Putting drainage line","547923.05","Drainage","","","","","","","","","","","","","","","","","","","",""
"9A","19-20","84","Putting drainage line","510578.48","Drainage","","","","","","","","","","","","","","","","","","","",""
"9A","19-20","85","Electrification","615512.44","Electrification","","","","","","","","","","","","","","","","","","","",""
"9B","19-20","86","Making coal tar roads ","685232.14","Road","","","","","","","","","","","","","","","","","","","",""
"9B","19-20","87","Making coal tar roads ","695768.62","Road","","","","","","","","","","","","","","","","","","","",""
"9B","19-20","88","Making coal tar roads ","348824.59","Road","","","","","","","","","","","","","","","","","","","",""
"9B","19-20","89","Making coal tar roads ","773560.11","Road","","","","","","","","","","","","","","","","","","","",""
"9B","19-20","90","Making coal tar roads ","697446.28","Road","","","","","","","","","","","","","","","","","","","",""
"9B","19-20","91","Putting pavement blocks ","445056.28","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"9B","19-20","92","Road grouting ","761332.56","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"9B","19-20","93","Repair & paint work at cemetery","612195.77","Cemetory / Crematorium","","","","","","","","","","","","","","","","","","","",""
"9B","19-20","94","Work related to cemetery ","785675.94","Cemetory / Crematorium","","","","","","","","","","","","","","","","","","","",""
"9B","19-20","95","Building aarogya kothi ","321313.74","Medical","","","","","","","","","","","","","","","","","","","",""
"9B","19-20","96","Building & repairing toilets ","747449.73","Toilet","","","","","","","","","","","","","","","","","","","",""
"9B","19-20","97","Cleaning drainage line","684416.62","Drainage","","","","","","","","","","","","","","","","","","","",""
"9B","19-20","98","Putting channeling net in drainage line","391599.94","Drainage","","","","","","","","","","","","","","","","","","","",""
"9C","19-20","99","Making coal tar roads ","772736.46","Road","","","","","","","","","","","","","","","","","","","",""
"9C","19-20","100","Making coal tar roads ","741680.91","Road","","","","","","","","","","","","","","","","","","","",""
"9C","19-20","101","Concretization of road","399097","Road","","","","","","","","","","","","","","","","","","","",""
"9C","19-20","102","Work related to drainage","847184.43","Drainage","","","","","","","","","","","","","","","","","","","",""
"9C","19-20","103","Work related to drainage","843660.3","Drainage","","","","","","","","","","","","","","","","","","","",""
"9C","19-20","104","Improving electrification","660968.16","Electrification","","","","","","","","","","","","","","","","","","","",""
"9C","19-20","105","Electrification","681076.51","Electrification","","","","","","","","","","","","","","","","","","","",""
"9C","19-20","106","Electrification","656817.49","Electrification","","","","","","","","","","","","","","","","","","","",""
"9D","19-20","107","Concretization of road","638602.74","Road","","","","","","","","","","","","","","","","","","","",""
"9D","19-20","108","Building toilets","651064.3","Toilet","","","","","","","","","","","","","","","","","","","",""
"9D","19-20","109","Electrification","684720.06","Electrification","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","1","Cleaning radaroda","692200.48","Cleaning","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","2","Making coal tar roads ","938334.35","Road","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","3","Making coal tar roads ","909326.88","Road","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","4","Making footpaths","412242.06","Footpath","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","5","Making footpaths","842207.47","Footpath","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","6","Concretization of roads ","950185.6","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","7","Concretization of roads ","989216.4","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","8","Concretization of roads ","936673.6","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","9","Concretization of roads ","896532.42","Concretization","","","","","","","","","","","","","","","","","","","",""
"8A","20-21","10","Waterproofing school ","732457.13","Buildings","","","","","","","","","","","","","","","","","","","",""
